              Y_h1             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     7.14182426146036E-01     2.70471414524416E-01     3.15876821010439E-12     3.29961660158613E-21     2.57441230191846E-12     3.62228758986473E-12     2.06723704380496E-16     9.06441955506877E-05     1.49896795093637E-04     7.52213079739608E+15     2.40000000000000E+02
     7.14147964149518E-01     2.70479941336525E-01     3.16639656615929E-12     3.30774471474600E-21     2.58062945154115E-12     3.60828544662035E-12     2.07222937571045E-16     9.02894486318700E-05     1.50251542012611E-04     7.75944864827014E+15     2.50000000000000E+02
     7.14113478405449E-01     2.70488486819081E-01     3.17295233492173E-12     3.31475320096814E-21     2.58597243697441E-12     3.59631766415781E-12     2.07651975929093E-16     8.99856355101678E-05     1.50555355134382E-04     7.99662640316703E+15     2.60000000000000E+02
     7.14078972323105E-01     2.70497048291620E-01     3.17858946318458E-12     3.32080271744640E-21     2.59056672565049E-12     3.58609226033418E-12     2.08020894410230E-16     8.97254437624830E-05     1.50815546882060E-04     8.23368417266136E+15     2.70000000000000E+02
     7.14044448822508E-01     2.70505623458218E-01     3.18343981848543E-12     3.32603088601046E-21     2.59451979029435E-12     3.57735912947779E-12     2.08338323006420E-16     8.95026100101861E-05     1.51038380634287E-04     8.47063917794647E+15     2.80000000000000E+02
     7.14009910404669E-01     2.70514210352558E-01     3.18761634266406E-12     3.33055558254417E-21     2.59792367908937E-12     3.56990406121029E-12     2.08611653128676E-16     8.93117700533085E-05     1.51229220591039E-04     8.70750617315390E+15     2.90000000000000E+02
     7.13975359211494E-01     2.70522807290791E-01     3.19121575779687E-12     3.33447775947319E-21     2.60085722102794E-12     3.56354360825532E-12     2.08847214695319E-16     8.91483302761144E-05     1.51392660368060E-04     8.94429779776137E+15     3.00000000000000E+02
     7.13940797077223E-01     2.70531412830915E-01     3.19432089769418E-12     3.33788387742002E-21     2.60338792609374E-12     3.55812066442320E-12     2.09050428715419E-16     8.90083568347027E-05     1.51532633809259E-04     9.18102487511483E+15     3.10000000000000E+02
     7.13906225570827E-01     2.70540025739363E-01     3.19700262633429E-12     3.34084790664329E-21     2.60557354879544E-12     3.55350082602753E-12     2.09225932839566E-16     8.88884845038812E-05     1.51652506139832E-04     9.41769666018570E+15     3.20000000000000E+02
     7.13871646037508E-01     2.70548644958289E-01     3.19932171722527E-12     3.34343328891865E-21     2.60746361985683E-12     3.54956882740775E-12     2.09377704353560E-16     8.87858274352535E-05     1.51755163208183E-04     9.65432108216347E+15     3.30000000000000E+02
     7.13837059625295E-01     2.70557269585438E-01     3.20133000585924E-12     3.34569413625376E-21     2.60910038547167E-12     3.54622635512164E-12     2.09509135600124E-16     8.86979242355283E-05     1.51843066407605E-04     9.89090492291615E+15     3.40000000000000E+02
     7.13802467329117E-01     2.70565898838434E-01     3.20307244218150E-12     3.34767737448087E-21     2.61052048007749E-12     3.54338815516159E-12     2.09623168301494E-16     8.86226405501323E-05     1.51918350092677E-04     1.01274540475249E+16     3.50000000000000E+02
     7.13767869992742E-01     2.70574532052644E-01     3.20458721747047E-12     3.34942287991946E-21     2.61175502976421E-12     3.54098179231850E-12     2.09722301862984E-16     8.85581632299493E-05     1.51982827412517E-04     1.03639733987731E+16     3.60000000000000E+02
     7.13733268339382E-01     2.70583168660153E-01     3.20590696211029E-12     3.35096471926041E-21     2.61283062846339E-12     3.53894537838430E-12     2.09808671760532E-16     8.85029429776078E-05     1.52038047664499E-04     1.06004672620947E+16     3.70000000000000E+02
     7.13698662994099E-01     2.70591808170078E-01     3.20705988263608E-12     3.35233234288332E-21     2.61377026464701E-12     3.53722541561670E-12     2.09884123953924E-16     8.84556406441588E-05     1.52085349997576E-04     1.08369393402173E+16     3.80000000000000E+02
     7.13664054484584E-01     2.70600450168285E-01     3.20806977978036E-12     3.35355060547600E-21     2.61459333603516E-12     3.53577676250507E-12     2.09950216067835E-16     8.84151264543708E-05     1.52125864186979E-04     1.10733927663368E+16     3.90000000000000E+02
     7.13629443263932E-01     2.70609094298773E-01     3.20895711177326E-12     3.35464086955523E-21     2.61531651619117E-12     3.53456061708406E-12     2.10008286978873E-16     8.83804292174866E-05     1.52160561423469E-04     1.13098302197285E+16     4.00000000000000E+02
     7.13594829721643E-01     2.70617740255220E-01     3.20973948315733E-12     3.35562151927183E-21     2.61595415290827E-12     3.53354358982109E-12     2.10059488805774E-16     8.83507132792439E-05     1.52190277361309E-04     1.15462539957154E+16     4.10000000000000E+02
     7.13560214189803E-01     2.70626387776074E-01     3.21043192670060E-12     3.35650825411120E-21     2.61651849797011E-12     3.53269716892864E-12     2.10104805359034E-16     8.83252651109395E-05     1.52215725529203E-04     1.17826660403719E+16     4.20000000000000E+02
     7.13525596953714E-01     2.70635036636676E-01     3.21104735490636E-12     3.35731455960793E-21     2.61702007513365E-12     3.53199686400381E-12     2.10145081689688E-16     8.83034718349846E-05     1.52237518804741E-04     1.20190680271059E+16     4.30000000000000E+02
     7.13490978257957E-01     2.70643686644521E-01     3.21159683270837E-12     3.35805199224655E-21     2.61746790237712E-12     3.53142168882191E-12     2.10181041935697E-16     8.82848082898327E-05     1.52256182349471E-04     1.22554613928560E+16     4.40000000000000E+02
     7.13456358306788E-01     2.70652337639073E-01     3.21208958811977E-12     3.35873019050528E-21     2.61786950057894E-12     3.53095414113716E-12     2.10213290018849E-16     8.82688365230944E-05     1.52272154115782E-04     1.24918473439881E+16     4.50000000000000E+02
     7.13421737288351E-01     2.70660989473006E-01     3.21253408942162E-12     3.35935799908221E-21     2.61823177143197E-12     3.53057815963554E-12     2.10242380140723E-16     8.82551546235553E-05     1.52285836014890E-04     1.27282270068845E+16     4.60000000000000E+02
     7.13387115342332E-01     2.70669642035881E-01     3.21293668674343E-12     3.35994205252427E-21     2.61855989032458E-12     3.53028170040150E-12     2.10268727881739E-16     8.82434613109477E-05     1.52297529327064E-04     1.29646011885937E+16     4.70000000000000E+02
     7.13352492611523E-01     2.70678295215882E-01     3.21330380834404E-12     3.36048906590624E-21     2.61885909632098E-12     3.53005257131818E-12     2.10292753935443E-16     8.82334515438490E-05     1.52307539093725E-04     1.32009707438281E+16     4.80000000000000E+02
     7.13317869214555E-01     2.70686948919487E-01     3.21364083168823E-12     3.36100465770421E-21     2.61913377208277E-12     3.52988057326210E-12     2.10314810226795E-16     8.82248701940449E-05     1.52316120443089E-04     1.34373363655506E+16     4.90000000000000E+02
