              Y_h1             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     7.14113544986504E-01     2.70488472460972E-01     1.06265663827980E-09     2.79249399692613E-16     9.40713012742859E-10     7.76278738657648E-09     2.56393833285024E-13     8.99818645673207E-05     1.50549369018969E-04     7.99619030769961E+15     2.60000000000000E+02
     7.14079040264495E-01     2.70497033594072E-01     1.06454469478596E-09     2.79759078836088E-16     9.42384436037696E-10     7.74071299318281E-09     2.56849367889280E-13     8.97216893947896E-05     1.50809562705957E-04     8.23323866401654E+15     2.70000000000000E+02
     7.14044518125767E-01     2.70505608421019E-01     1.06616923014810E-09     2.80199556718815E-16     9.43822574153558E-10     7.72186013146247E-09     2.57241322332451E-13     8.94988704361468E-05     1.51032397454396E-04     8.47018427327313E+15     2.80000000000000E+02
     7.14009981070667E-01     2.70514194975900E-01     1.06756806582461E-09     2.80580762895526E-16     9.45060908979285E-10     7.70576645018753E-09     2.57578821857368E-13     8.93080447749426E-05     1.51223236571773E-04     8.70704188501681E+15     2.90000000000000E+02
     7.13975431240719E-01     2.70522791574743E-01     1.06877360063952E-09     2.80911203661682E-16     9.46128121953152E-10     7.69203588753410E-09     2.57869683379326E-13     8.91446186089239E-05     1.51386674195316E-04     8.94382412682744E+15     3.00000000000000E+02
     7.13940870470242E-01     2.70531396775241E-01     1.06981358514940E-09     2.81198165258569E-16     9.47048779580293E-10     7.68032920476226E-09     2.58120602318805E-13     8.90046573966409E-05     1.51526645153388E-04     9.18054181760095E+15     3.10000000000000E+02
     7.13906300330266E-01     2.70540009342277E-01     1.07071178468628E-09     2.81447887865477E-16     9.47843920399153E-10     7.67035588079898E-09     2.58337312574875E-13     8.88847917970757E-05     1.51646519032720E-04     9.41720422802326E+15     3.20000000000000E+02
     7.13871722166150E-01     2.70548628218201E-01     1.07148855087067E-09     2.81665715568193E-16     9.48531560920109E-10     7.66186712573974E-09     2.58524724415055E-13     8.87821365908730E-05     1.51749181263083E-04     9.65381929847012E+15     3.30000000000000E+02
     7.13837137129752E-01     2.70557252497418E-01     1.07216131028227E-09     2.81856224592566E-16     9.49127128226905E-10     7.65464990706251E-09     2.58687042377653E-13     8.86942213560903E-05     1.51837102446595E-04     9.89039382531701E+15     3.40000000000000E+02
     7.13802546204505E-01     2.70565881406608E-01     1.07274494494235E-09     2.82023323192674E-16     9.49643796803145E-10     7.64852229839598E-09     2.58827857071368E-13     8.86189365160072E-05     1.51912392313843E-04     1.01269336074020E+16     3.50000000000000E+02
     7.13767950236701E-01     2.70574514280050E-01     1.07325226676201E-09     2.82170376117568E-16     9.50092908543169E-10     7.64332767959279E-09     2.58950259646149E-13     8.85544660137108E-05     1.51976867054202E-04     1.03634436281491E+16     3.60000000000000E+02
     7.13733349948929E-01     2.70583150549317E-01     1.07369421564226E-09     2.82300256586734E-16     9.50484148122550E-10     7.63893231502585E-09     2.59056889589110E-13     8.84992592043964E-05     1.52032077425586E-04     1.05999281421839E+16     3.70000000000000E+02
     7.13698745962916E-01     2.70591789726008E-01     1.07408019074372E-09     2.82415433024490E-16     9.50825836258417E-10     7.63522130393363E-09     2.59150014650479E-13     8.84519837555031E-05     1.52079355857734E-04     1.08363908290883E+16     3.80000000000000E+02
     7.13664138816699E-01     2.70600431388101E-01     1.07441831358485E-09     2.82518038263181E-16     9.51125162620231E-10     7.63209536416746E-09     2.59231594321763E-13     8.84114884108745E-05     1.52119853690771E-04     1.10728348908163E+16     3.90000000000000E+02
     7.13629528959306E-01     2.70609075181454E-01     1.07471540591968E-09     2.82609865513141E-16     9.51388166244563E-10     7.62947110282774E-09     2.59303274498614E-13     8.83768070895554E-05     1.52154537076184E-04     1.13092629455852E+16     4.00000000000000E+02
     7.13594916783890E-01     2.70617720796784E-01     1.07497742206798E-09     2.82692479097819E-16     9.51620118262912E-10     7.62727573088505E-09     2.59366491789082E-13     8.83470960811456E-05     1.52184249785934E-04     1.15456773081828E+16     4.10000000000000E+02
     7.13560302621219E-01     2.70626367974818E-01     1.07520934405815E-09     2.82767185432951E-16     9.51825429077817E-10     7.62544834481847E-09     2.59422448213897E-13     8.83216480985529E-05     1.52209699158624E-04     1.17820799533491E+16     4.20000000000000E+02
     7.13525686741954E-01     2.70635016501543E-01     1.07541530582865E-09     2.82835074145883E-16     9.52007758301359E-10     7.62393840952705E-09     2.59472141176549E-13     8.82998793275935E-05     1.52231469051178E-04     1.20184724411565E+16     4.30000000000000E+02
     7.13491069387057E-01     2.70643666187476E-01     1.07559895381687E-09     2.82897102830797E-16     9.52170333985198E-10     7.62270134885290E-09     2.59516450458644E-13     8.82812728672343E-05     1.52250076402330E-04     1.22548561916528E+16     4.40000000000000E+02
