              Y_h1             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00
     7.14939309781734E-01     2.70303402095150E-01     5.91034824170829E-11     3.69851133883124E-17     2.20637968095127E-10     2.58303630084644E-09     2.05115174997099E-14     1.75475019290431E-04     6.50631179112692E-05     1.85286923946065E+15     1.00000000000000E+01
     7.14910527092057E-01     2.70307464009565E-01     7.04932966357946E-11     4.41144711712499E-17     2.63157965077110E-10     2.39861296467224E-09     2.44642629004863E-14     1.62940052939816E-04     7.75982147714491E-05     2.12369051705557E+15     2.00000000000000E+01
     7.14880905276910E-01     2.70312185640424E-01     8.02490845884308E-11     5.02218295285232E-17     2.99577880800907E-10     2.24067232401065E-09     2.78499323440754E-14     1.52204817332150E-04     8.83335621406604E-05     2.38956111372301E+15     3.00000000000000E+01
     7.14850564795966E-01     2.70317472283143E-01     8.86053881668963E-11     5.54538647624544E-17     3.30773297642166E-10     2.10541315640071E-09     3.07499217483982E-14     1.43010954878174E-04     9.75275202991782E-05     2.65119172518247E+15     4.00000000000000E+01
     7.14819608840180E-01     2.70323242809282E-01     9.57631263245439E-11     5.99362257973233E-17     3.57494278171574E-10     1.98957916661873E-09     3.32339584551500E-14     1.35137144206321E-04     1.05401412923814E-04     2.90919115281235E+15     5.00000000000000E+01
     7.14788125768503E-01     2.70329427751747E-01     1.01894338693650E-10     6.37765016546098E-17     3.80383073837495E-10     1.89038210682767E-09     3.53617474649092E-14     1.28393876528922E-04     1.12144750776133E-04     3.16408070566372E+15     6.00000000000000E+01
     7.14756191271294E-01     2.70335967602425E-01     1.07146402330798E-10     6.70668589504287E-17     3.99989866750736E-10     1.80543343576162E-09     3.71844348254349E-14     1.22618811524533E-04     1.17919875868510E-04     3.41630692270444E+15     7.00000000000000E+01
     7.14723870171954E-01     2.70342811397500E-01     1.11645535558109E-10     6.98862332854754E-17     4.16785850084059E-10     1.73268753193346E-09     3.87458236121936E-14     1.17672918027848E-04     1.22865820814419E-04     3.66625225059746E+15     8.00000000000000E+01
     7.14691217951023E-01     2.70349915520269E-01     1.15499762812409E-10     7.23021833500210E-17     4.31174296327784E-10     1.67039364229856E-09     4.00834028559359E-14     1.13437208066107E-04     1.27101574826036E-04     3.91424406456588E+15     9.00000000000000E+01
     7.14658282156354E-01     2.70357242585800E-01     1.18801676746379E-10     7.43726182028892E-17     4.43500868655908E-10     1.61705111689218E-09     4.12293061081421E-14     1.09809694172239E-04     1.30729126432795E-04     4.16056280413160E+15     1.00000000000000E+02
     7.14625103522226E-01     2.70364760569619E-01     1.21630595720708E-10     7.61471462725715E-17     4.54061675187397E-10     1.57137444230145E-09     4.22110601817417E-14     1.06703012401539E-04     1.33835840489460E-04     4.40544881075826E+15     1.10000000000000E+02
     7.14591716911232E-01     2.70372442064731E-01     1.24054403652318E-10     7.76682258366053E-17     4.63110137435843E-10     1.53226342322579E-09     4.30522236559072E-14     1.04042395461717E-04     1.36496485067189E-04     4.64910781723302E+15     1.20000000000000E+02
     7.14558152170251E-01     2.70380263605689E-01     1.26131223576085E-10     7.89722113607490E-17     4.70863237981473E-10     1.49877605908109E-09     4.37729676725166E-14     1.01763828752757E-04     1.38775075432870E-04     4.89171591532732E+15     1.30000000000000E+02
     7.14524434863482E-01     2.70388205094109E-01     1.27910840182467E-10     8.00902429782919E-17     4.77506831032052E-10     1.47010548890416E-09     4.43905696166296E-14     9.98124831401610E-05     1.40726441292208E-04     5.13342393072605E+15     1.40000000000000E+02
     7.14490586910160E-01     2.70396249294057E-01     1.29435949444947E-10     8.10490279334878E-17     4.83200307481808E-10     1.44555973865123E-09     4.49198467898581E-14     9.81413383647727E-05     1.42397603394231E-04     5.37436109594466E+15     1.50000000000000E+02
     7.14456627086780E-01     2.70404381438499E-01     1.30743132897521E-10     8.18714496247764E-17     4.88080232044808E-10     1.42454593106889E-09     4.53734945257108E-14     9.67101094152962E-05     1.43828847169952E-04     5.61463804911967E+15     1.60000000000000E+02
     7.14422571468026E-01     2.70412588894937E-01     1.31863685397224E-10     8.25770850748236E-17     4.92263433424957E-10     1.40655687006134E-09     4.57623734580573E-14     9.54843343685574E-05     1.45054634901609E-04     5.85434977567378E+15     1.70000000000000E+02
     7.14388433804991E-01     2.70420860857440E-01     1.32824378146136E-10     8.31826823095218E-17     4.95849852799047E-10     1.39115867445223E-09     4.60957743219132E-14     9.44345342516317E-05     1.46104445869284E-04     6.09357754581175E+15     1.80000000000000E+02
