              Y_h1             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00
     7.14939323821089E-01     2.70303400473239E-01     1.58031076158344E-10     9.89136859395100E-17     3.77080859278930E-10     9.92894214071175E-09     6.76349380602299E-14     1.75474418379408E-04     6.50561174987827E-05     1.85277568332858E+15     1.00000000000000E+01
     7.14910541888360E-01     2.70307462001896E-01     1.88490849890279E-10     1.17984462884135E-16     4.49764176922602E-10     9.21998935964010E-09     8.06710635827169E-14     1.62939070816577E-04     7.75920708582475E-05     2.12359408524480E+15     2.00000000000000E+01
     7.14880920784468E-01     2.70312183298919E-01     2.14580625293113E-10     1.34321350868451E-16     5.12019774972431E-10     8.61284314135627E-09     9.18369241757615E-14     1.52203559153088E-04     8.83281013113994E-05     2.38946150834158E+15     3.00000000000000E+01
     7.14850580991580E-01     2.70317469640601E-01     2.36927732550305E-10     1.48316763193281E-16     5.65344592959914E-10     8.09288876918047E-09     1.01401003612719E-13     1.43009478873977E-04     9.75226258633798E-05     2.65108874201960E+15     4.00000000000000E+01
     7.14819625692585E-01     2.70323239903227E-01     2.56069430612967E-10     1.60306769667718E-16     6.11020641830938E-10     7.64760988797543E-09     1.09593237124382E-13     1.35135525983673E-04     1.05396959206614E-04     2.90908456928174E+15     5.00000000000000E+01
     7.14788143262478E-01     2.70329424604387E-01     2.72465883095744E-10     1.70579215952423E-16     6.50145967116968E-10     7.26628620872090E-09     1.16610564802197E-13     1.28392153756950E-04     1.12140657228210E-04     3.16397037191650E+15     6.00000000000000E+01
     7.14756209403148E-01     2.70335964226095E-01     2.86511265908463E-10     1.79380673005563E-16     6.83661154041160E-10     6.93973473743868E-09     1.22621685424758E-13     1.22616998231012E-04     1.17916091739030E-04     3.41619278419165E+15     7.00000000000000E+01
     7.14723888955878E-01     2.70342807789339E-01     2.98543208212320E-10     1.86922343038673E-16     7.12371855592466E-10     6.66008983216674E-09     1.27771096983167E-13     1.17670989604435E-04     1.22862339262711E-04     3.66613436878137E+15     8.00000000000000E+01
     7.14691237364568E-01     2.70349911707287E-01     3.08850386976580E-10     1.93384809921118E-16     7.36966914707524E-10     6.42062627489173E-09     1.32182346987381E-13     1.13435223811591E-04     1.27098309612457E-04     3.91412235017639E+15     9.00000000000000E+01
     7.14658302163987E-01     2.70357238601026E-01     3.17680370863360E-10     1.98922946262763E-16     7.58037081403730E-10     6.21557653524014E-09     1.35961389479373E-13     1.09807731865741E-04     1.30725976704112E-04     4.16043700350745E+15     1.00000000000000E+02
