              Y_h1             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     6.96677547193820E-01     7.00154821290404E-02     2.61957676414816E-06     4.70415866137435E-07     2.29288068834153E-04     5.55690953372060E-04     1.18672687298002E-09     8.16409056916976E-04     9.55207415196450E-05     1.45551536840307E+16     9.40000000000000E+01
     6.96659675655657E-01     7.00165916535636E-02     2.74620468820349E-06     4.50986563631231E-07     2.19883672259477E-04     5.66830053676398E-04     1.23972067252648E-09     8.10304284523759E-04     9.97835585678510E-05     1.47447392996517E+16     9.60000000000000E+01
     6.96642028601460E-01     7.00177499402654E-02     2.87485379291249E-06     4.32524531608515E-07     2.10950320940580E-04     5.77718982094985E-04     1.29341909524179E-09     8.03919128103925E-04     1.04102897116886E-04     1.49328295584815E+16     9.80000000000000E+01
     6.96624585717634E-01     7.00189576142012E-02     3.00542825772878E-06     4.14987503244372E-07     2.02467403577673E-04     5.88356002808143E-04     1.34778451085174E-09     7.97279104695581E-04     1.08475725373112E-04     1.51194856084766E+16     1.00000000000000E+02
     6.96607327710672E-01     7.00202152660854E-02     3.13783296151960E-06     3.98335054324979E-07     1.94415208392403E-04     5.98739833173476E-04     1.40277953723416E-09     7.90408356062613E-04     1.12899031576119E-04     1.53047664838363E+16     1.02000000000000E+02
     6.96590236261558E-01     7.00215234525427E-02     3.27197346562855E-06     3.82528520602459E-07     1.86774882582580E-04     6.08869615309243E-04     1.45836708939487E-09     7.83329713816022E-04     1.17369827938828E-04     1.54887291808770E+16     1.04000000000000E+02
     6.96573293982130E-01     7.00228826963996E-02     3.40775603609067E-06     3.67530918676580E-07     1.79528393542307E-04     6.18744889031356E-04     1.51451042478531E-09     7.76064761667145E-04     1.21885154293993E-04     1.56714287308847E+16     1.06000000000000E+02
     6.96556484373556E-01     7.00242934870184E-02     3.54508770858485E-06     3.53306870604800E-07     1.72658491946835E-04     6.28365566222533E-04     1.57117318477421E-09     7.68633894646294E-04     1.26442081431956E-04     1.58529182697688E+16     1.08000000000000E+02
     6.96539791786611E-01     7.00257562806667E-02     3.68387637125129E-06     3.39822531846348E-07     1.66148676492944E-04     6.37731906457279E-04     1.62831943277903E-09     7.61056375657009E-04     1.31037714170230E-04     1.60332491049313E+16     1.10000000000000E+02
     6.96523201383733E-01     7.00272715009201E-02     3.82403084061868E-06     3.27045522548164E-07     1.59983160285937E-04     6.46844493855842E-04     1.68591368915226E-09     7.53350389418717E-04     1.35669194162640E-04     1.62124707794413E+16     1.12000000000000E+02
     6.96506699102755E-01     7.00288395390956E-02     3.96546093492613E-06     3.14944862000476E-07     1.54146838789599E-04     6.55704215109182E-04     1.74392096300608E-09     7.45533093920854E-04     1.40333702462468E-04     1.63906311336317E+16     1.14000000000000E+02
     6.96490271622256E-01     7.00304607547127E-02     4.10807755237311E-06     3.03490906084010E-07     1.48625259256190E-04     6.64312238620186E-04     1.80230678115605E-09     7.37620669505228E-04     1.45028461853151E-04     1.65677763642297E+16     1.16000000000000E+02
     6.96473906328444E-01     7.00321354759795E-02     4.25179274926820E-06     2.92655287601269E-07     1.43404591572481E-04     6.72669994709306E-04     1.86103721428367E-09     7.29628365684760E-04     1.49750738959362E-04     1.67439510811364E+16     1.18000000000000E+02
