              Y_h1             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00
     7.14939303964131E-01     2.70303402680513E-01     1.03198202603598E-11     3.84824971088570E-19     2.00190578107110E-11     1.09950787320006E-10     1.45465658090193E-15     1.75474740548502E-04     6.50661191603778E-05     1.85291126927337E+15     1.00000000000000E+01
     7.14910520933428E-01     2.70307464753714E-01     1.23083927198916E-11     4.58997290323470E-19     2.38766274430834E-11     1.02100744490956E-10     1.73496059898609E-15     1.62939997162391E-04     7.76008645501087E-05     2.12373364251191E+15     2.00000000000000E+01
     7.14880898793204E-01     2.70312186526747E-01     1.40116782702239E-11     5.22536993966726E-19     2.71807779065106E-11     9.53779416648120E-11     1.97505131402693E-15     1.52204944407525E-04     8.83359190201014E-05     2.38960544554927E+15     3.00000000000000E+01
     7.14850558002260E-01     2.70317473296470E-01     1.54706263130359E-11     5.76970079241682E-19     3.00109456669384E-11     8.96205776122346E-11     2.18070084751348E-15     1.43011227881861E-04     9.75296370138087E-05     2.65123737133404E+15     4.00000000000000E+01
     7.14819601748803E-01     2.70323243937029E-01     1.67203153322061E-11     6.23603756051841E-19     3.24351783801470E-11     8.46900485534970E-11     2.35685377158359E-15     1.35137532624479E-04     1.05403333527621E-04     2.90923820090518E+15     5.00000000000000E+01
     7.14788118388406E-01     2.70329428984375E-01     1.77907814044165E-11     6.63557331612177E-19     3.45117420936095E-11     8.04676745078330E-11     2.50774389373039E-15     1.28394357610118E-04     1.12146509617176E-04     3.16412922066461E+15     6.00000000000000E+01
     7.14756183610959E-01     2.70335968931135E-01     1.87077556232998E-11     6.97789695651120E-19     3.62905517525773E-11     7.68517855486125E-11     2.63699820219823E-15     1.22619364060881E-04     1.17921504086388E-04     3.41635696541169E+15     7.00000000000000E+01
     7.14723862237956E-01     2.70342812815375E-01     1.94932743594723E-11     7.27122063779091E-19     3.78143550244654E-11     7.37553105144927E-11     2.74772288665449E-15     1.17673525544905E-04     1.22867343389407E-04     3.66630387117934E+15     8.00000000000000E+01
     7.14691209746419E-01     2.70349917023317E-01     2.01661969637269E-11     7.52257269894533E-19     3.91197365751121E-11     7.11037314357894E-11     2.84257631228956E-15     1.13437861723597E-04     1.27103007883895E-04     3.91429728831235E+15     9.00000000000000E+01
     7.14658273686967E-01     2.70357244167969E-01     2.07426906071102E-11     7.73797832652696E-19     4.02380585949188E-11     6.88331678130842E-11     2.92383736161672E-15     1.09810379215660E-04     1.30730490967499E-04     4.16061766857853E+15     1.00000000000000E+02
     7.14625094791145E-01     2.70364762227512E-01     2.12366027974287E-11     7.92259835761493E-19     4.11961834319746E-11     6.68889047099170E-11     2.99345794343348E-15     1.06703721064178E-04     1.33837149611137E-04     4.40550534492448E+15     1.10000000000000E+02
     7.14591707920406E-01     2.70372443795813E-01     2.16597854062658E-11     8.08085001224016E-19     4.20171021619677E-11     6.52241124427464E-11     3.05310866682930E-15     1.04043122114484E-04     1.36497748981462E-04     4.64916603722798E+15     1.20000000000000E+02
     7.14558142921240E-01     2.70380265407900E-01     2.20223862636453E-11     8.21651553170783E-19     4.27205002435608E-11     6.37986944188553E-11     3.10421994361360E-15     1.01764568871872E-04     1.38776302583442E-04     4.89177583496232E+15     1.30000000000000E+02
     7.14524425356408E-01     2.70388206966680E-01     2.23330970100067E-11     8.33283452965218E-19     4.33232383187022E-11     6.25783078113958E-11     3.14801692488753E-15     9.98132355744945E-05     1.40727636187714E-04     5.13348555594315E+15     1.40000000000000E+02
     7.14490577146243E-01     2.70396251234919E-01     2.25993727453184E-11     8.43258583771653E-19     4.38397783030847E-11     6.15334956723657E-11     3.18555046221339E-15     9.81420982702974E-05     1.42398773753870E-04     5.37442442364912E+15     1.50000000000000E+02
     7.14456617068821E-01     2.70404383444950E-01     2.28276007222007E-11     8.51815034519716E-19     4.42825106286663E-11     6.06390203835386E-11     3.21772088615999E-15     9.67108701066975E-05     1.43830002140952E-04     5.61470309952408E+15     1.60000000000000E+02
     7.14422561197415E-01     2.70412590965740E-01     2.30232442582343E-11     8.59156461059643E-19     4.46620334146648E-11     5.98732950203527E-11     3.24529829180852E-15     9.54850930596991E-05     1.45055779378482E-04     5.85441656805202E+15     1.70000000000000E+02
     7.14388423281464E-01     2.70420862992761E-01     2.31909768864341E-11     8.65457087302998E-19     4.49874127018748E-11     5.92178532929584E-11     3.26894144825547E-15     9.44352918954349E-05     1.46105580705053E-04     6.09364609035832E+15     1.80000000000000E+02
     7.14354215091130E-01     2.70429190272879E-01     2.33348012228360E-11     8.70866131495612E-19     4.52664130401924E-11     5.86568798721297E-11     3.28921455387936E-15     9.35362236512634E-05     1.47004649087353E-04     6.33246112079798E+15     1.90000000000000E+02
     7.14319946710852E-01     2.70437564874903E-01     2.34581482102329E-11     8.75511505659253E-19     4.55056900084311E-11     5.81768182522684E-11     3.30660122548073E-15     9.27662516813089E-05     1.47774621174727E-04     6.57092107501319E+15     2.00000000000000E+02
     7.14285626783512E-01     2.70445980001455E-01     2.35639584373567E-11     8.79502845035004E-19     4.57109479628737E-11     5.77660494381562E-11     3.32151596082298E-15     9.21068324387892E-05     1.48434040516933E-04     6.80907687711799E+15     2.10000000000000E+02
     7.14251262713629E-01     2.70454429831219E-01     2.36547503587389E-11     8.82934050519506E-19     4.58870723748438E-11     5.74146223908444E-11     3.33431375472709E-15     9.15420851066680E-05     1.48998787933552E-04     7.04697221334974E+15     2.20000000000000E+02
     7.14216860840780E-01     2.70462909381629E-01     2.37326796629451E-11     8.85885501016257E-19     4.60382449972936E-11     5.71140194492981E-11     3.34529846746410E-15     9.10584170284536E-05     1.49482456083256E-04     7.28464452875473E+15     2.30000000000000E+02
     7.14182426591045E-01     2.70471414387772E-01     2.37995916359146E-11     8.88426004683985E-19     4.61680454428106E-11     5.68569494304101E-11     3.35473020575558E-15     9.06441933276649E-05     1.49896679844393E-04     7.52212586430881E+15     2.40000000000000E+02
     7.14147964611845E-01     2.70479941195446E-01     2.38570673995840E-11     8.90614522014222E-19     4.62795408804804E-11     5.66371649289848E-11     3.36283184045026E-15     9.02894451786053E-05     1.50251428044258E-04     7.75944362650803E+15     2.50000000000000E+02
     7.14113478884026E-01     2.70488486673852E-01     2.39064616666861E-11     8.92501572874148E-19     4.63753592752418E-11     5.64493131389509E-11     3.36979432834246E-15     8.99856316229979E-05     1.50555241642498E-04     7.99662127122722E+15     2.60000000000000E+02
     7.14078972818048E-01     2.70497048141487E-01     2.39489347926216E-11     8.94130431200792E-19     4.64577515643135E-11     5.62888092080620E-11     3.37578123012095E-15     8.97254373964912E-05     1.50815435904637E-04     8.23367891290406E+15     2.70000000000000E+02
     7.14044449334565E-01     2.70505623302590E-01     2.39854802596996E-11     8.95538149429055E-19     4.65286449730121E-11     5.61517276408992E-11     3.38093258447612E-15     8.95025995641970E-05     1.51038273766569E-04     8.47063379477058E+15     2.80000000000000E+02
     7.14009910934297E-01     2.70514210191475E-01     2.40169487529225E-11     8.96756455821352E-19     4.65896897186177E-11     5.60347071696693E-11     3.38536830176028E-15     8.93117556466865E-05     1.51229117708582E-04     8.70750068039024E+15     2.90000000000000E+02
     7.13975359758603E-01     2.70522807124598E-01     2.40440688892928E-11     8.97812527095992E-19     4.66422992225077E-11     5.59348688476572E-11     3.38919108593694E-15     8.91483128605210E-05     1.51392560514852E-04     8.94429220252608E+15     3.00000000000000E+02
     7.13940797641491E-01     2.70531412659845E-01     2.40674648265178E-11     8.98729644814438E-19     4.66876842687338E-11     5.58497464728144E-11     3.39248891665822E-15     8.90083370553311E-05     1.51532536336380E-04     9.18101917497960E+15     3.10000000000000E+02
     7.13906226153908E-01     2.70540025561999E-01     2.40876712016967E-11     8.99527752293551E-19     4.67268819831148E-11     5.57772275612265E-11     3.39533715498342E-15     8.88884585005094E-05     1.51652414904314E-04     9.41769086172549E+15     3.20000000000000E+02
     7.13871646641386E-01     2.70548644773243E-01     2.41051458900311E-11     9.00223930267448E-19     4.67607805834607E-11     5.57155029342522E-11     3.39780034181378E-15     8.87857914234656E-05     1.51755081991707E-04     9.65431520186885E+15     3.30000000000000E+02
     7.13837060256184E-01     2.70557269387788E-01     2.41202809797450E-11     9.00832806046077E-19     4.67901406694771E-11     5.56630233539186E-11     3.39993374488876E-15     8.86978647969960E-05     1.51843008626159E-04     9.89089899646954E+15     3.40000000000000E+02
     7.13802467984984E-01     2.70565898629968E-01     2.41334122505517E-11     9.01366906887322E-19     4.68156136097480E-11     5.56184620711809E-11     3.40178469484613E-15     8.86225625644553E-05     1.51918310864654E-04     1.01274480682013E+16     3.50000000000000E+02
     7.13767870670364E-01     2.70574531837281E-01     2.41448265088106E-11     9.01836933533557E-19     4.68377557709765E-11     5.55806858429173E-11     3.40339361916667E-15     8.85580773933793E-05     1.51982796039949E-04     1.03639673860208E+16     3.60000000000000E+02
     7.13733269037328E-01     2.70583168439422E-01     2.41547706590469E-11     9.02252098411357E-19     4.68570461155434E-11     5.55487190881305E-11     3.40479532087210E-15     8.85028534668884E-05     1.52038019969170E-04     1.06004612186699E+16     3.70000000000000E+02
     7.13698663700351E-01     2.70591807953082E-01     2.41634539540627E-11     9.02620209511263E-19     4.68738905664273E-11     5.55217349971151E-11     3.40601929569482E-15     8.84555722922860E-05     1.52085301145228E-04     1.08369331853807E+16     3.80000000000000E+02
     7.13664055198774E-01     2.70600449954041E-01     2.41710600592711E-11     9.02948119954060E-19     4.68886454104300E-11     5.54990078622969E-11     3.40709143263528E-15     8.84150765831744E-05     1.52125796854705E-04     1.10733864628723E+16     3.90000000000000E+02
     7.13629443985361E-01     2.70609094087526E-01     2.41777425629757E-11     9.03241560162338E-19     4.69016085887070E-11     5.54799308178796E-11     3.40803338110249E-15     8.83803984983864E-05     1.52160474938923E-04     1.13098237551180E+16     4.00000000000000E+02
     7.13594830453849E-01     2.70617740043754E-01     2.41836356342294E-11     9.03505538229981E-19     4.69130403716151E-11     5.54639737286979E-11     3.40886405321832E-15     8.83506929415691E-05     1.52190180494372E-04     1.15462473785924E+16     4.10000000000000E+02
